src,dst,count
TZ,V,881
ECK,N,604
C,F,317
Y,I,1361
L,PF,1277
ECK,A,767
SCH,G,1911
PF,ECK,141
T,TZ,223
F,CH,775
B,BL,1104
KR,Y,739
X,H,590
L,Q,134
Q,I,244
C,UE,439
H,P,723
C,CH,1362
S,ECK,466
J,C,329
SCH,S,797
W,C,386
Y,U,976
ST,J,642
J,Z,244
UE,K,238
LT,Y,499
NG,KR,213
H,TZ,377
Y,J,143
X,D,177
W,B,318
D,PF,547
W,V,163
X,M,356
J,N,494
X,W,166
CH,J,262
NG,PF,261
PF,V,220
NG,D,295
ECK,PF,105
O,QU,826
H,KR,286
Z,BL,619
V,D,666
F,PF,184
C,V,171
X,KR,241
L,QU,901
J,NG,113
LT,J,247
KR,H,98
BL,J,98
V,W,496
SP,K,98
B,P,1094
CH,ECK,228
Z,ECK,331
X,QU,96
KR,K,108
SCH,SCH,302
W,P,283
KR,Z,174
TZ,PF,312
SP,D,129
H,F,1342
R,LT,220
ECK,P,230
TZ,TZ,101
UE,E,377
ECK,G,272
Z,D,1084
PF,ST,630
W,CH,99
X,L,601
NG,Z,386
G,ECK,120
C,G,357
Z,KR,863
Q,S,90
Q,W,79
H,C,374
SCH,ST,270
P,W,425
Y,UE,239
TZ,R,785
W,ST,199
K,X,107
J,S,225
UE,A,278
D,X,91
J,J,153
Z,CH,691
J,K,397
SCH,Y,155
SP,S,445
NG,CH,146
J,L,332
I,Y,324
V,J,107
BL,ECK,166
Y,LT,72
F,QU,159
PF,D,348
V,CH,110
TZ,S,278
N,Q,81
J,R,163
TZ,J,87
X,B,246
V,F,366
ECK,BL,62
PF,PF,150
P,SP,220
V,T,403
UE,X,117
TZ,ECK,60
UE,W,108
ECK,SP,60
PF,SP,152
V,ST,273
ECK,F,258
I,UE,91
J,D,205
CH,C,102
J,B,117
K,TZ,106
H,SP,128
Y,X,262
C,X,110
Z,SP,254
W,Z,124
SCH,BL,189
TZ,KR,179
U,QU,173
M,QU,210
W,TZ,52
B,QU,93
W,F,143
SCH,Z,420
F,Y,104
V,M,189
ECK,SCH,225
Z,QU,183
V,C,112
T,X,135
Y,H,208
ECK,K,181
P,PF,63
B,PF,73
D,QU,194
Y,Y,129
J,P,157
Q,C,42
KR,J,42
Y,NG,42
ST,QU,61
X,SP,70
QU,M,39
G,CH,51
ECK,W,166
H,Q,38
V,X,37
I,Q,110
V,SCH,89
Y,KR,35
TZ,C,35
B,X,33
Y,BL,33
L,X,78
G,C,124
V,Z,69
Q,A,70
W,SCH,132
QU,U,44
J,G,67
F,X,61
X,G,79
Q,T,32
H,BL,95
UE,U,72
SP,Y,137
M,X,52
SCH,C,31
F,ECK,45
Q,L,41
J,T,64
A,Q,58
BL,Y,51
LT,QU,49
C,SP,26
SP,V,26
SCH,KR,50
J,V,59
NG,QU,23
G,PF,83
K,QU,54
X,TZ,22
E,Q,36
Z,PF,114
W,SP,31
CH,PF,38
PF,BL,32
PF,J,51
J,W,20
TZ,SP,56
Q,H,20
Q,V,19
BL,Z,19
Y,SP,62
P,NG,19
NG,Y,88
X,R,72
BL,L,18
UE,O,31
P,X,28
Q,O,32
P,Q,17
NG,BL,17
TZ,Y,47
D,Q,16
C,ST,30
KR,S,16
S,X,16
Z,TZ,15
CH,UE,28
O,Q,15
U,Q,15
S,Q,27
X,S,25
P,ECK,37
V,TZ,14
G,TZ,13
UE,Y,13
ECK,Y,13
ECK,J,13
SCH,J,22
K,LT,12
PF,QU,12
L,NG,12
J,CH,12
TZ,QU,12
G,X,11
U,UE,11
J,ECK,11
ST,LT,11
Q,D,11
BL,T,10
C,W,10
Y,QU,10
T,Q,10
J,F,10
Q,F,10
